classe,numero,incidente,liminar,origem,entrada,relator,distribuicao,requerente,requerentetipo,requerido,dispositivoquestionado,resultadoliminar,resultadofinal,decisaomonofinal,fundamento,indexacao
ADI,0001,1480010,sim,RONDÔNIA,06-Out-1988,CÉLIO BORJA,06-Out-1988,GOVERNADOR DO ESTADO DE RONDÔNIA( CF 103 ; 00V ),NA,GOVERNADOR DO ESTADO DE RONDÔNIAASSEMBLÉIA LEGISLATIVA DO ESTADO DE RONDÔNIA,"Argui inconstitucionalidade : - do artigo 002 º da Lei Estadual nº 139 ; de 12 de dezembro de1986 ; que alterou o ""caput"" do artigo 086 do Decreto-Lei Estadualnº 008 ; de 25/01/82 ( Código de Organização e Divisão Judiciárias doEstado de Rondônia ) ; - da expressão "" ou privado "" DO PARÁGRAFO 001 º e parágrafo002 º acrescentados ao artigo 089 do Decreto-Lei Estadual nº 008 ; de25 de janeiro de 1982 ; pelo artigo 003 º da Lei Estadual nº 139 ;de ; 12 de dezembro de 1986 ; - a expressão "" a estes incorporada "" do artigo 090 doDecreto-Lei nº 008 /82 ; com a redação que lhe foi dada pelo artigo004 º da Lei nº 139 ; - intepretação do inciso III do artigo 089 do Decreto-Leinº 008 /82 ; com a redação que lhe foi dada pelo Decreto-Lei nº 056 ;de 27 de junho de 1983 . - vinculação de vencimentos dos Desembargadores aos dosMinistros do Supremo Tribunal Federal ; contagem do adicional portempo de serviço privado ; acumulação de adicional por quinqüênio eincorporação da ajuda de custo e auxílio - moradia aos vencimentos dosMagistrados .",Prejudicada,Decisão Monocrática - Negado Seguimento,"NEGADO SEGUIMENTO ""Por ser juridicamente impossível o pedido; NEGO-LHE SEGUIMENTO."" - Brasília ; 24 de fevereiro de 1992 . - Publicado DJ 27.02.1992 .",Art. 005 º- Art. 037 ; 0IX ; XII ; XIII,NA
ADI,0002,1480183,sim,DISTRITO FEDERAL,12-Out-1988,PAULO BROSSARD,12-Out-1988,FEDERACAO NACIONAL DOS ESTABELECIMENTOS DE ENSINO - FENEN( CF 103 ; 0IX ),NA,PRESIDENTE DA REPUBLICA,Artigos 001 º e 003 º do DECRETO-LEI nº 532 ; de 16 de abril de1969 e artigos 002 º ; 003 º ; 004 º e 005 º do DECRETO nº 95921 de 14de abril de 1988 . Fixacao de precos das mensalidades ; taxas e contribuicoesescolares dos estabelecimentos particulares de ensino . Escolas .,Indeferida,Não Conhecido,NA,"Artigo 173 e paragrafo 004 º- Artigo 174- Artigo 209 ; ""caput"" e inciso 00I da Constituicao Federal",NA
ADI,0003,1480234,não,DISTRITO FEDERAL,12-Out-1988,MOREIRA ALVES,13-Out-1988,CONSELHO FEDERAL DA ORDEM DOS ADVOGADOS DO BRASIL( CF 103 ; VII ),NA,PRESIDENTE DA REPUBLICA,DECRETO nº 94042 de 18 de fevereiro de 1987 e DECRETO nº 94233 de15 de abril de 1987.  Dispoe sobre o reajuste dos contratos em  vigor ; firmados com a Administracao  Publica .,Sem Liminar,Não Conhecido,NA,NA,NA
ADI,0004,1480210,sim,DISTRITO FEDERAL,12-Out-1988,SYDNEY SANCHES,12-Out-1988,PARTIDO DEMOCRATICO TRABALHISTA - PDT( CF 103 ; VIII ),NA,PRESIDENTE DA REPUBLICA,PARECER SR - 070 ; de 6 de outubro de 1988 do Consultor Geral daRepublica - Consultoria Geral da Republica ; referente ao paragrafo003 º do artigo 192 da Constituicao Federal . Limite maximo de doze por cento para os juros reais cobraveis noscontratos de emprestimo de dinheiro. - Sua eficacia estaria adepender da edicao de norma regulamentadora. - Sistema FinanceiroNacional - Regulamentacao por Lei Complementar - Juros Reais -Fixacao em 012 % ( doze por cento ) a.a. .,Indeferida,Improcedente,NA,NA,NA
ADI,0005,1480556,sim,DISTRITO FEDERAL,18-Out-1988,NÉRI DA SILVEIRA,18-Out-1988,GOVERNADOR DO ESTADO DE SAO PAULO( CF 103 ; 00V ),NA,PRESIDENTE DA REPUBLICA,"Argui inconstitucionalidade do Artigo 002 º ""caput"" e seuparagrafo 003 º do Decreto-Lei Federal nº 1928 ; de 18 de fevereirode 1982 ; alterado pelo Artigo 001 º do Decreto-Lei nº 2169 de 29 deoutubro de 1984 .  Dispoe sobre pagamento prioritario de  debitos decorrentes de compromissos em  moeda estrangeira ; assumidos pela  Administracao Publica .",Prejudicada,Não Conhecido,NA,"Artigo 001 º- Artigo 005 º ; XXXV- Artigo 018- Artigo 025- Artigo 034 ; ""caput"" ; inciso 00V ; alinea ""a"" ; da Constituicao Federal",NA
ADI,0006,1481098,não,DISTRITO FEDERAL,07-Nov-1988,OCTAVIO GALLOTTI,08-Nov-1988,CAMARA BRASILEIRA DO LIVRO,NA,MINISTRO DA FAZENDA,Item 0VI da Portaria nº 119 de 22 de junho de 1982 do Ministeriode Estado da Fazenda . Regulamenta o recolhimento da contribuicao social ao FINSOCIALabrangendo as empresas Editoras ; Distribuidoras e Comerciantes deLivros ; que gozam de Imunidade Tributaria .,Sem Liminar,Decisão Monocrática - Negado Seguimento,NEGADO SEGUIMENTO : Julgamento por Despacho : Em sessao plenaria de 006 de fevereirode 1992; assentou o Supremo Tribunal que nao cabe acao direta ; paraimpugnar atos normativos anteriores a Constituicao de 1992 . Assim ;por impossibilidade juridica do seu objeto ; a Corte nao conheceu ;entre outras ; da ADIN nº 002 . Coerente com essa orientacao ; nego seguimento ao presentepedido . Brasília ; 12 de fevereiro de 1992 . Publicado DJ 21.02.1992 .,NA,NA
ADI,0007,1482149,não,DISTRITO FEDERAL,29-Nov-1988,CELSO DE MELLO,29-Nov-1988,CAMARA BRASILEIRA DA INDUSTRIA DA CONSTRUCAO - CBIC,NA,PRESIDENTE DA REPUBLICA,Decreto-Lei Federal nº 2445 de 29 de junho de 1988 com a redacaodo Decreto-Lei Federal nº 2449 de 21 de julho de 1988 . Base de calculo do PIS - PASEP,Sem Liminar,Não Conhecido,NA,"Artigo 150 ; III ; ""b""",NA
ADI,0008,1482269,não,DISTRITO FEDERAL,01-Dez-1988,CARLOS VELLOSO,06-Dez-1988,ASSOCIACAO DOS LABORATORIOS FARMACEUTICOS NACIONAIS -ALANAC( CF 103 ; 0IX ),NA,CONSELHO INTERMINISTERIAL DE PRECOS,RESOLUCAO Nº 293 - C ; de <FONT COLOR=RED><B>1</B></FONT>º de dezembro de 1988 do ConselhoInterministerial de Precos .  Dispoe sobre o reajuste dos precos dos  produtos farmaceuticos da linha humana .  Remedios . Medicamentos .,Sem Liminar,Prejudicada a Ação,NA,NA,NA
ADI,0009,1482386,sim,DISTRITO FEDERAL,06-Dez-1988,NÉRI DA SILVEIRA,06-Dez-1988,CONFEDERACAO NACIONAL DA INDUSTRIA - CNI( CF 103 ; 0IX ),NA,PRESIDENTE DA REPUBLICA,Decreto-Lei Federal nº 2445 de 29 de junho de 1988 . Base de calculo do PIS - PASEP .,Indeferida,Não Conhecido,NA,NA,NA
ADI,0010,1482422,sim,DISTRITO FEDERAL,07-Dez-1988,SEPULVEDA PERTENCE,07-Dez-1988,CONFEDERACAO NACIONAL DAS PROFISSOES LIBERAIS - CNFL( CF 103 ; 0IX ),NA,PRESIDENTE DA REPUBLICA,Artigo 002 º do DECRETO-LEI Federal nº 2397 de 21 de dezembro1987 . Alterou o regime Juridico - Tributario das sociedades civis dePrestacao de servicos - incidencia do Imposto de Renda na Fonte .,Prejudicada,Decisão Monocrática - Negado Seguimento,"NEGADO SEGUIMENTO : "" ... Na Sessao Plenaria do dia 6 de fevereiro de 1992 ; aojulgar a ADIn 002 ; Relator o Em. Ministro Paulo Brossard ; firmou oSTF o entendimento de que a nao recepcao da norma anterior porincompatibilidade material com a norma constitucional supervenienteresolve-se em simples revogacao ; a cuja declaracao nao se presta aacao direta de inconstitucionalidade . Naquela assentada ; proferi longo voto em sentido contrario . Data Venia e malgrado o brilho dos pronunciamentos queformaram a maioria ; mantenho-me fiel a conviccao manifestada . Nao obstante ; a profundidade da discussao do tema ; o numeroe a qualificacao dos votos que alicercaram a decisao da Corte ;prenunciam jurisprudencia sedimentada e duradoura . Assim ; com ressalva de minha opiniao pessoal ; na linha daorientacao do plenario ; NEGO SEGUIMENTO ao presente pedido ( RISTF ;art. 021 ; § 001 º ). Brasilia ; 09 de setembro de 1994 . "" Publicado DJ 15.09.1994 .",Artigo 153 ; inciso III ; da Constituicao Federal,NA
