arquivo, incidente, requerente, requerido
ADI0001.txt,1480010,"GOVERNADOR DO ESTADO DE RONDÔNIA( CF 103 , 00V )",GOVERNADOR DO ESTADO DE RONDÔNIAASSEMBLÉIA LEGISLATIVA DO ESTADO DE RONDÔNIA
ADI0002.txt,1480183,"FEDERACAO NACIONAL DOS ESTABELECIMENTOS DE ENSINO - FENEN( CF 103 , 0IX )",PRESIDENTE DA REPUBLICA
ADI0003.txt,1480234,"CONSELHO FEDERAL DA ORDEM DOS ADVOGADOS DO BRASIL( CF 103 , VII )",PRESIDENTE DA REPUBLICA
ADI0004.txt,1480210,"PARTIDO DEMOCRATICO TRABALHISTA - PDT( CF 103 , VIII )",PRESIDENTE DA REPUBLICA
ADI0005.txt,1480556,"GOVERNADOR DO ESTADO DE SAO PAULO( CF 103 , 00V )",PRESIDENTE DA REPUBLICA
ADI0006.txt,1481098,CAMARA BRASILEIRA DO LIVRO,MINISTRO DA FAZENDA
ADI0007.txt,1482149,CAMARA BRASILEIRA DA INDUSTRIA DA CONSTRUCAO - CBIC,PRESIDENTE DA REPUBLICA
ADI0008.txt,1482269,"ASSOCIACAO DOS LABORATORIOS FARMACEUTICOS NACIONAIS -ALANAC( CF 103 , 0IX )",CONSELHO INTERMINISTERIAL DE PRECOS
ADI0009.txt,1482386,"CONFEDERACAO NACIONAL DA INDUSTRIA - CNI( CF 103 , 0IX )",PRESIDENTE DA REPUBLICA
ADI0010.txt,1482422,"CONFEDERACAO NACIONAL DAS PROFISSOES LIBERAIS - CNFL( CF 103 , 0IX )",PRESIDENTE DA REPUBLICA
